URL Links,Department Initials,Title,Catalog Page
https://www.utdallas.edu/fact-sheets/ecs/bs-software-engineering/,ecs,Bachelor of Science in Software Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/software-engineering
https://www.utdallas.edu/fact-sheets/nsm/bs-actuarial-science/,nsm,Bachelor of Science in Actuarial Science,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/actuarial-science
https://www.utdallas.edu/fact-sheets/nsm/bs-biochemistry/,nsm,Bachelor of Science in Biochemistry,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/biochemistry
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-chemistry/,nsm,Bachelor of Arts / Bachelor of Science in Chemistry,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/chemistry
https://www.utdallas.edu/fact-sheets/nsm/bs-geosciences/,nsm,Bachelor of Science in Geosciences,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/geosciences
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-mathematics/,nsm,Bachelor of Arts / Bachelor of Science in Mathematics,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/mathematics
https://www.utdallas.edu/fact-sheets/nsm/bs-molecular-biology/,nsm,Bachelor of Science in Molecular Biology,https://catalog.utdallas.edu/2018/undergraduate/programs/nsm/molecular-biology
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-physics/,nsm,Bachelor of Arts / Bachelor of Science in Physics,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/physics
https://www.utdallas.edu/fact-sheets/ecs/bs-data-science-ecs/,ecs,Bachelor of Science in Data Science,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/
https://www.utdallas.edu/fact-sheets/nsm/bs-data-science-nsm/,nsm,Bachelor of Science in Data Science,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/
https://www.utdallas.edu/fact-sheets/jsom/ms-in-accounting/,jsom,Master of Science in Accounting,http://catalog.utdallas.edu/now/graduate/programs/jsom/accounting
https://www.utdallas.edu/fact-sheets/jsom/ms-in-energy-management/,jsom,Master of Science in Energy Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/energy-management
https://www.utdallas.edu/fact-sheets/jsom/master-of-science-in-finance/,jsom,Master of Science in Finance,https://catalog.utdallas.edu/2019/graduate/programs/jsom/finance
https://www.utdallas.edu/fact-sheets/nsm/ms-actuarial-science/,nsm,Master of Science in Actuarial Science,https://catalog.utdallas.edu/now/graduate/programs/nsm/mathematics#master-of-science-in-actuarial-science
https://www.utdallas.edu/fact-sheets/bbs/msf-applied-cognition-and-neuroscience/,bbs,Master of Science in Applied Cognition and Neuroscience,https://catalog.utdallas.edu/now/graduate/programs/bbs/applied-cognition-and-neuroscience
https://www.utdallas.edu/fact-sheets/epps/ms-applied-sociology/,epps,Master of Science in Applied Sociology,https://catalog.utdallas.edu/now/graduate/programs/epps/sociology#applied-sociology-ms
https://www.utdallas.edu/fact-sheets/ah/ma-art-history/,ah,Master of Arts in Art History,https://catalog.utdallas.edu/now/graduate/programs/ah/art-history
https://www.utdallas.edu/fact-sheets/atec/ma-atec/,atec,"Master of Arts in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/graduate/programs/atec/arts-technology-and-emerging-communication-ma
https://www.utdallas.edu/fact-sheets/atec/mfa-atec/,atec,"Master of Fine Arts in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/graduate/programs/atec/arts-technology-and-emerging-communication-mfa
https://www.utdallas.edu/fact-sheets/atec/phd-atec/,atec,"Doctor of Philosophy in Arts, Technology, and Emerging Communication",https://catalog.utdallas.edu/now/graduate/programs/atec/arts-technology-and-emerging-communication-ma#doctor-of-philosophy-in-arts-and-technology
https://www.utdallas.edu/fact-sheets/bbs/aud/,bbs,Doctor of Audiology,http://catalog.utdallas.edu/now/graduate/programs/bbs/audiology#audiology-aud
https://www.utdallas.edu/fact-sheets/nsm/ms-bioinformatics/,nsm,Master of Science in Bioinformatics and Computational Biology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#master-of-science-in-bioinformatics-and-computational-biology
https://www.utdallas.edu/fact-sheets/ecs/ms-biomedical-engineering/,ecs,Master of Science in Biomedical Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/biomedical-engineering#biomedical-engineering-ms
https://www.utdallas.edu/fact-sheets/nsm/ms-biotechnology/,nsm,Master of Science in Biotechnology,https://catalog.utdallas.edu/now/graduate/programs/nsm/biological-sciences#biotechnology-ms
https://www.utdallas.edu/fact-sheets/jsom/ms-business-analytics/,jsom,Master of Science in Business Analytics,http://catalog.utdallas.edu/now/graduate/programs/jsom/business-analytics
https://www.utdallas.edu/fact-sheets/nsm/ms-chemistry/,nsm,Master of Science in Chemistry,https://catalog.utdallas.edu/now/graduate/programs/nsm/chemistry-and-biochemistry#master-of-science-in-chemistry
https://www.utdallas.edu/fact-sheets/nsm/phd-chemistry/,nsm,Doctor of Philosophy in Chemistry,https://catalog.utdallas.edu/now/graduate/programs/nsm/chemistry-and-biochemistry#doctor-of-philosophy-in-chemistry
https://www.utdallas.edu/fact-sheets/bbs/phd-cognition-and-neuroscience/,bbs,Doctor of Philosophy in Cognition and Neuroscience,http://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs#cognition-and-neuroscience-phd
https://www.utdallas.edu/fact-sheets/bbs/ms-communication-disorders/,bbs,Master of Science in Speech-Language Pathology,https://catalog.utdallas.edu/2020/graduate/programs/bbs
https://www.utdallas.edu/fact-sheets/bbs/phd-communication-sciences-and-disorders/,bbs,"Doctor of Philosophy in Speech, Language, And Hearing Sciences",https://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs
https://www.utdallas.edu/fact-sheets/ecs/ms-computer-engineering/,ecs,Master of Science in Computer Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/computer-engineering#computer-engineering-ms
