URL Links,Department Initials
https://www.utdallas.edu/fact-sheets/epps/phd-public-policy-and-political-economy/,epps
https://www.utdallas.edu/fact-sheets/nsm/mat-science-education/,nsm
https://www.utdallas.edu/fact-sheets/epps/ms-social-data-analytics-and-research/,epps
https://www.utdallas.edu/fact-sheets/ecs/ms-software-engineering/,ecs
https://www.utdallas.edu/fact-sheets/ecs/phd-software-engineering/,ecs
https://www.utdallas.edu/fact-sheets/nsm/ms-statistics/,nsm
https://www.utdallas.edu/fact-sheets/nsm/phd-statistics/,nsm
https://www.utdallas.edu/fact-sheets/jsom/ms-supply-chain-management/,jsom
https://www.utdallas.edu/fact-sheets/ecs/ms-systems-engineering-and-management/,ecs
https://www.utdallas.edu/fact-sheets/ecs/ms-telecommunications-engineering/,ecs
https://www.utdallas.edu/fact-sheets/epps/ms-cyber-security-technology-and-policy/,epps
https://www.utdallas.edu/fact-sheets/epps/ba-bs-economics/,epps
https://www.utdallas.edu/fact-sheets/epps/ba-criminology/,epps
https://www.utdallas.edu/fact-sheets/ecs/phd-biomedical-engineering/,ecs
https://www.utdallas.edu/fact-sheets/ecs/master-of-science-in-cyber-security-technology-and-policy/,ecs
https://www.utdallas.edu/fact-sheets/jsom/master-of-science-in-systems-engineering-and-management/,jsom
https://www.utdallas.edu/fact-sheets/jsom/bachelor-of-science-in-accounting/,jsom
https://www.utdallas.edu/fact-sheets/ecs/bs-computer-engineering/,ecs
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-biology/,nsm
https://www.utdallas.edu/fact-sheets/ecs/phd-telecommunications-engineering/,ecs
https://www.utdallas.edu/fact-sheets/ah/ma-visual-and-performing-arts/,ah
https://www.utdallas.edu/fact-sheets/ah/phd-visual-and-performing-arts/,ah
https://www.utdallas.edu/fact-sheets/jsom/master-of-science-in-leadership-and-organizational-development/,jsom
https://www.utdallas.edu/fact-sheets/jsom/bs-in-business-analytics/,jsom
https://www.utdallas.edu/fact-sheets/is/ba-bs-in-education/,is
