Full Course Name,Course Code
EPPS 7V81 Special Topics in Social Science Research Methodology,EPPS 7V81
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
PPPE 6V91 Evaluation Research (6 semester credit hours),PPPE 6V91
PPPE 6310 Research Design I,PPPE 6310
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 6316 Applied Regression,EPPS 6316
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
EPPS 6326 Machine Learning for Socio-Economic and Geo-Referenced Data,EPPS 6326
EPPS 7318 Structural Equation and Multilevel (Hierarchical) Modeling,EPPS 7318
EPPS 7344 Categorical and Limited Dependent Variables,EPPS 7344
EPPS 7370 Time Series Analysis I,EPPS 7370
EPPS 7371 Time Series Analysis II,EPPS 7371
EPPS 7386 Survey Research,EPPS 7386
EPPS 7390 Bayesian Analysis for Social and Behavioral Sciences,EPPS 7390
EPPS 7V81 Special Topics in Social Science Research Methodology,EPPS 7V81
GISC 7364 Demographic and Epidemiological Analysis and Modeling,GISC 7364
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 6316 Applied Regression,EPPS 6316
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
PA 6315 (SOC 6315) Evaluating Program and Organizational Performance ,PA 6315
PPPE 6310 Research Design I,PPPE 6310
PPPE 6V91 Evaluation Research (6 semester credit hours),PPPE 6V91
or EPPS 6V97 Internship (6 semester credit hours),EPPS 6V97
